cl_sig,pq_sig,cl,pq,delay,loss,mtu,idx,connections,user_sec,real_sec
p256,mayo1,p256,frodo640shake,5,5,1280,0,81.0,,11.0
p256,mayo1,p256,frodo640shake,5,5,1500,0,63.0,,11.0
p256,mayo1,p256,frodo640shake,5,5,576,0,49.0,,11.0
p256,mayo1,p256,hqc128,5,0,1280,0,49.0,,11.0
p256,mayo1,p256,hqc128,5,0,1500,0,48.0,,11.0
p256,mayo1,p256,hqc128,5,0,576,0,51.0,,11.0
p256,mayo1,p256,hqc128,5,1,1280,0,61.0,,11.0
p256,mayo1,p256,hqc128,5,1,576,0,66.0,,12.0
p256,mayo1,p256,mlkem512,5,0,1280,0,274.0,,11.0
p256,mayo1,p256,mlkem512,5,0,1500,0,274.0,,11.0
p256,mayo1,p256,mlkem512,5,0,576,0,297.0,,11.0
p256,mayo1,p256,mlkem512,5,1,1280,0,247.0,,11.0
p256,mayo1,p256,mlkem512,5,1,576,0,220.0,,11.0
p256,mayo1,x25519,bikel1,5,0,1280,0,304.0,,11.0
p256,mayo1,x25519,bikel1,5,0,1500,0,304.0,,11.0
p256,mayo1,x25519,bikel1,5,0,576,0,321.0,,11.0
p256,mayo1,x25519,bikel1,5,1,1280,0,187.0,,11.0
p256,mayo1,x25519,bikel1,5,1,1500,0,160.0,,11.0
p256,mayo1,x25519,bikel1,5,1,576,0,285.0,,11.0
p256,mayo1,x25519,bikel1,5,5,1500,0,,,
p256,mayo1,x25519,frodo640shake,5,0,1280,0,235.0,,11.0
p256,mayo1,x25519,frodo640shake,5,0,1500,0,240.0,,11.0
p256,mayo1,x25519,frodo640shake,5,0,576,0,181.0,,11.0
p256,mayo1,x25519,frodo640shake,5,1,1280,0,176.0,,11.0
p256,mayo1,x25519,frodo640shake,5,1,1500,0,172.0,,11.0
p256,mayo1,x25519,frodo640shake,5,1,576,0,114.0,,11.0
p256,mayo1,x25519,frodo640shake,5,5,1280,0,80.0,,11.0
p256,mayo1,x25519,frodo640shake,5,5,1500,0,54.0,,11.0
p256,mayo1,x25519,frodo640shake,5,5,576,0,,,
p256,mayo1,x25519,hqc128,5,0,1280,0,51.0,,11.0
p256,mayo1,x25519,hqc128,5,0,1500,0,52.0,,11.0
p256,mayo1,x25519,hqc128,5,0,576,0,51.0,,11.0
p256,mayo1,x25519,hqc128,5,1,1280,0,53.0,,11.0
p256,mayo1,x25519,hqc128,5,1,1500,0,51.0,,11.0
p256,mayo1,x25519,hqc128,5,1,576,0,64.0,,11.0
p256,mayo1,x25519,mlkem512,5,0,1280,0,319.0,,11.0
p256,mayo1,x25519,mlkem512,5,0,1500,0,320.0,,11.0
p256,mayo1,x25519,mlkem512,5,0,576,0,325.0,,11.0
p256,mayo1,x25519,mlkem512,5,1,1280,0,242.0,,11.0
p256,mayo1,x25519,mlkem512,5,1,1500,0,266.0,,11.0
p256,mayo1,x25519,mlkem512,5,1,576,0,181.0,,11.0
p256,mayo1,x25519,mlkem512,5,5,1500,0,64.0,,11.0
p256,mayo1,x448,bikel1,5,0,1280,0,257.0,,11.0
p256,mayo1,x448,bikel1,5,0,1500,0,254.0,,11.0
p256,mayo1,x448,bikel1,5,0,576,0,267.0,,11.0
p256,mayo1,x448,bikel1,5,1,1280,0,206.0,,11.0
p256,mayo1,x448,bikel1,5,1,1500,0,,,
p256,mayo1,x448,bikel1,5,1,576,0,190.0,,11.0
p256,mayo1,x448,frodo640shake,5,0,1280,0,201.0,,11.0
p256,mayo1,x448,frodo640shake,5,0,1500,0,214.0,,11.0
p256,mayo1,x448,frodo640shake,5,0,576,0,167.0,,11.0
p256,mayo1,x448,frodo640shake,5,1,1280,0,149.0,,11.0
p256,mayo1,x448,frodo640shake,5,1,1500,0,,,
p256,mayo1,x448,frodo640shake,5,1,576,0,101.0,,11.0
p256,mayo1,x448,hqc128,5,0,1280,0,53.0,,11.0
p256,mayo1,x448,hqc128,5,0,1500,0,51.0,,11.0
p256,mayo1,x448,hqc128,5,0,576,0,54.0,,11.0
p256,mayo1,x448,hqc128,5,1,1280,0,68.0,,11.0
p256,mayo1,x448,hqc128,5,1,1500,0,46.0,,11.0
p256,mayo1,x448,hqc128,5,1,576,0,58.0,,11.0
p256,mayo1,x448,mlkem512,5,0,1280,0,304.0,,11.0
p256,mayo1,x448,mlkem512,5,0,1500,0,297.0,,11.0
p256,mayo1,x448,mlkem512,5,0,576,0,320.0,,11.0
p256,mayo1,x448,mlkem512,5,1,1280,0,177.0,,11.0
p256,mayo1,x448,mlkem512,5,1,1500,0,99.0,,11.0
p256,mayo1,x448,mlkem512,5,1,576,0,234.0,,11.0
p256,mayo1,x448,mlkem512,5,5,1500,0,,,
p256,mldsa44,p256,bikel1,5,0,1280,0,243.0,,11.0
p256,mldsa44,p256,bikel1,5,0,1500,0,184.0,,11.0
p256,mldsa44,p256,bikel1,5,0,576,0,238.0,,11.0
p256,mldsa44,p256,bikel1,5,1,1280,0,163.0,,11.0
p256,mldsa44,p256,bikel1,5,1,1500,0,114.0,,11.0
p256,mldsa44,p256,frodo640shake,5,0,1280,0,175.0,,11.0
p256,mldsa44,p256,frodo640shake,5,0,1500,0,155.0,,11.0
p256,mldsa44,p256,frodo640shake,5,0,576,0,151.0,,11.0
p256,mldsa44,p256,frodo640shake,5,1,1280,0,87.0,,11.0
p256,mldsa44,p256,frodo640shake,5,1,1500,0,90.0,,11.0
p256,mldsa44,p256,frodo640shake,5,1,576,0,134.0,,11.0
p256,mldsa44,p256,frodo640shake,5,5,1500,0,,,
p256,mldsa44,p256,hqc128,5,0,1280,0,49.0,,11.0
p256,mldsa44,p256,hqc128,5,0,1500,0,47.0,,11.0
p256,mldsa44,p256,hqc128,5,0,576,0,50.0,,11.0
p256,mldsa44,p256,hqc128,5,1,1280,0,50.0,,11.0
p256,mldsa44,p256,hqc128,5,1,1500,0,43.0,,11.0
p256,mldsa44,p256,hqc128,5,1,576,0,53.0,,11.0
p256,mldsa44,p256,mlkem512,5,0,1280,0,283.0,,11.0
p256,mldsa44,p256,mlkem512,5,0,1500,0,255.0,,11.0
p256,mldsa44,p256,mlkem512,5,0,576,0,256.0,,11.0
p256,mldsa44,p256,mlkem512,5,1,1280,0,197.0,,11.0
p256,mldsa44,p256,mlkem512,5,1,1500,0,156.0,,11.0
p256,mldsa44,p256,mlkem512,5,1,576,0,143.0,,11.0
p256,mldsa44,x25519,bikel1,5,0,1280,0,313.0,,11.0
p256,mldsa44,x25519,bikel1,5,0,1500,0,285.0,,11.0
p256,mldsa44,x25519,bikel1,5,0,576,0,282.0,,11.0
p256,mldsa44,x25519,bikel1,5,1,1280,0,189.0,,11.0
p256,mldsa44,x25519,bikel1,5,1,1500,0,146.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,0,1280,0,236.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,0,1500,0,211.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,0,576,0,169.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,1,1280,0,130.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,1,1500,0,175.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,1,576,0,81.0,,11.0
p256,mldsa44,x25519,hqc128,5,0,1280,0,53.0,,11.0
p256,mldsa44,x25519,hqc128,5,0,1500,0,48.0,,11.0
p256,mldsa44,x25519,hqc128,5,0,576,0,53.0,,11.0
p256,mldsa44,x25519,hqc128,5,1,1280,0,42.0,,11.0
p256,mldsa44,x25519,hqc128,5,1,1500,0,45.0,,11.0
p256,mldsa44,x25519,hqc128,5,1,576,0,61.0,,11.0
p256,mldsa44,x25519,hqc128,5,5,1500,0,15.0,,11.0
p256,mldsa44,x25519,mlkem512,5,0,1280,0,325.0,,11.0
p256,mldsa44,x25519,mlkem512,5,0,1500,0,256.0,,11.0
p256,mldsa44,x25519,mlkem512,5,0,576,0,279.0,,11.0
p256,mldsa44,x25519,mlkem512,5,1,1280,0,175.0,,12.0
p256,mldsa44,x25519,mlkem512,5,1,1500,0,232.0,,11.0
p256,mldsa44,x25519,mlkem512,5,1,576,0,140.0,,11.0
p256,mldsa44,x25519,mlkem512,5,5,1500,0,,,
p256,mldsa44,x448,bikel1,5,0,1280,0,273.0,,11.0
p256,mldsa44,x448,bikel1,5,0,1500,0,211.0,,11.0
p256,mldsa44,x448,bikel1,5,0,576,0,257.0,,11.0
p256,mldsa44,x448,bikel1,5,1,1280,0,250.0,,11.0
p256,mldsa44,x448,bikel1,5,1,1500,0,214.0,,11.0
p256,mldsa44,x448,bikel1,5,1,576,0,166.0,,11.0
p256,mldsa44,x448,bikel1,5,5,1500,0,,,
p256,mldsa44,x448,frodo640shake,5,0,1280,0,204.0,,11.0
p256,mldsa44,x448,frodo640shake,5,0,1500,0,167.0,,11.0
p256,mldsa44,x448,frodo640shake,5,0,576,0,161.0,,11.0
p256,mldsa44,x448,frodo640shake,5,1,1280,0,153.0,,11.0
p256,mldsa44,x448,frodo640shake,5,1,1500,0,143.0,,11.0
p256,mldsa44,x448,frodo640shake,5,1,576,0,110.0,,12.0
p256,mldsa44,x448,hqc128,5,0,1280,0,51.0,,11.0
p256,mldsa44,x448,hqc128,5,0,1500,0,49.0,,11.0
p256,mldsa44,x448,hqc128,5,0,576,0,52.0,,11.0
p256,mldsa44,x448,hqc128,5,1,1280,0,53.0,,11.0
p256,mldsa44,x448,hqc128,5,1,1500,0,51.0,,11.0
p256,mldsa44,x448,hqc128,5,1,576,0,62.0,,11.0
p256,mldsa44,x448,hqc128,5,5,1500,0,40.0,,11.0
p256,mldsa44,x448,mlkem512,5,0,1280,0,309.0,,11.0
p256,mldsa44,x448,mlkem512,5,0,1500,0,281.0,,11.0
p256,mldsa44,x448,mlkem512,5,0,576,0,273.0,,11.0
p256,mldsa44,x448,mlkem512,5,1,1280,0,163.0,,11.0
p256,mldsa44,x448,mlkem512,5,1,1500,0,137.0,,11.0
p256,mldsa44,x448,mlkem512,5,1,576,0,147.0,,11.0
p256,snova2454shake,p256,bikel1,5,0,1280,0,245.0,,11.0
p256,snova2454shake,p256,bikel1,5,0,1500,0,244.0,,11.0
p256,snova2454shake,p256,bikel1,5,0,576,0,262.0,,11.0
p256,snova2454shake,p256,bikel1,5,1,1280,0,144.0,,11.0
p256,snova2454shake,p256,bikel1,5,1,1500,0,223.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,0,1280,0,166.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,0,1500,0,173.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,0,576,0,174.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,1,1280,0,210.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,1,1500,0,121.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,1,576,0,151.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,5,1500,0,59.0,,11.0
p256,snova2454shake,p256,hqc128,5,0,1280,0,49.0,,11.0
p256,snova2454shake,p256,hqc128,5,0,1500,0,49.0,,11.0
p256,snova2454shake,p256,hqc128,5,0,576,0,56.0,,11.0
p256,snova2454shake,p256,hqc128,5,1,1280,0,52.0,,11.0
p256,snova2454shake,p256,hqc128,5,1,1500,0,47.0,,11.0
p256,snova2454shake,p256,hqc128,5,1,576,0,61.0,,12.0
p256,snova2454shake,p256,hqc128,5,5,1500,0,44.0,,11.0
p256,snova2454shake,p256,mlkem512,5,0,1280,0,259.0,,11.0
p256,snova2454shake,p256,mlkem512,5,0,1500,0,260.0,,11.0
p256,snova2454shake,p256,mlkem512,5,0,576,0,317.0,,11.0
p256,snova2454shake,p256,mlkem512,5,1,1280,0,196.0,,11.0
p256,snova2454shake,x25519,bikel1,5,0,1280,0,311.0,,11.0
p256,snova2454shake,x25519,bikel1,5,0,1500,0,310.0,,11.0
p256,snova2454shake,x25519,bikel1,5,0,576,0,331.0,,11.0
p256,snova2454shake,x25519,bikel1,5,1,1280,0,224.0,,11.0
