cl_sig,pq_sig,cl,pq,delay,loss,mtu,idx,connections,user_sec,real_sec
p256,mayo1,x448,frodo640shake,5,0,1500,0,295.0,,11.0
p256,mayo1,x448,frodo640shake,5,0,576,0,203.0,,11.0
p256,mayo1,x448,frodo640shake,5,1,1280,0,188.0,,11.0
p256,mayo1,x448,frodo640shake,5,1,1500,0,172.0,,11.0
p256,mayo1,x448,frodo640shake,5,1,576,0,146.0,,11.0
p256,mayo1,x448,hqc128,5,0,1280,0,100.0,,11.0
p256,mayo1,x448,hqc128,5,0,1500,0,102.0,,11.0
p256,mayo1,x448,hqc128,5,0,576,0,101.0,,11.0
p256,mayo1,x448,hqc128,5,1,1280,0,114.0,,11.0
p256,mayo1,x448,hqc128,5,1,1500,0,97.0,,11.0
p256,mayo1,x448,mlkem512,5,0,1280,0,384.0,,11.0
p256,mayo1,x448,mlkem512,5,0,1500,0,378.0,,11.0
p256,mayo1,x448,mlkem512,5,0,576,0,387.0,,11.0
p256,mayo1,x448,mlkem512,5,1,1280,0,196.0,,11.0
p256,mayo1,x448,mlkem512,5,1,1500,0,160.0,,11.0
p256,mayo1,x448,mlkem512,5,1,576,0,,,
p256,mldsa44,p256,bikel1,5,0,1280,0,334.0,,11.0
p256,mldsa44,p256,bikel1,5,0,1500,0,264.0,,11.0
p256,mldsa44,p256,bikel1,5,0,576,0,286.0,,11.0
p256,mldsa44,p256,bikel1,5,1,1280,0,229.0,,11.0
p256,mldsa44,p256,bikel1,5,1,1500,0,,,
p256,mldsa44,p256,bikel1,5,1,576,0,178.0,,11.0
p256,mldsa44,p256,frodo640shake,5,0,1280,0,235.0,,11.0
p256,mldsa44,p256,frodo640shake,5,0,1500,0,194.0,,11.0
p256,mldsa44,p256,frodo640shake,5,0,576,0,172.0,,11.0
p256,mldsa44,p256,frodo640shake,5,1,1280,0,137.0,,11.0
p256,mldsa44,p256,frodo640shake,5,1,1500,0,130.0,,11.0
p256,mldsa44,p256,frodo640shake,5,1,576,0,152.0,,11.0
p256,mldsa44,p256,frodo640shake,5,5,1500,0,,,
p256,mldsa44,p256,hqc128,5,0,1280,0,96.0,,11.0
p256,mldsa44,p256,hqc128,5,0,1500,0,95.0,,11.0
p256,mldsa44,p256,hqc128,5,0,576,0,103.0,,11.0
p256,mldsa44,p256,hqc128,5,1,1280,0,102.0,,11.0
p256,mldsa44,p256,hqc128,5,1,1500,0,101.0,,11.0
p256,mldsa44,p256,hqc128,5,1,576,0,108.0,,11.0
p256,mldsa44,p256,mlkem512,5,0,1280,0,333.0,,11.0
p256,mldsa44,p256,mlkem512,5,0,1500,0,343.0,,11.0
p256,mldsa44,p256,mlkem512,5,0,576,0,283.0,,11.0
p256,mldsa44,p256,mlkem512,5,1,1280,0,215.0,,11.0
p256,mldsa44,p256,mlkem512,5,1,1500,0,186.0,,11.0
p256,mldsa44,p256,mlkem512,5,1,576,0,149.0,,11.0
p256,mldsa44,p256,mlkem512,5,5,1500,0,77.0,,11.0
p256,mldsa44,x25519,bikel1,5,0,1280,0,376.0,,11.0
p256,mldsa44,x25519,bikel1,5,0,1500,0,376.0,,11.0
p256,mldsa44,x25519,bikel1,5,0,576,0,311.0,,11.0
p256,mldsa44,x25519,bikel1,5,1,1280,0,221.0,,11.0
p256,mldsa44,x25519,bikel1,5,1,576,0,201.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,0,1280,0,266.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,0,1500,0,268.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,0,576,0,182.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,1,1280,0,173.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,1,1500,0,186.0,,12.0
p256,mldsa44,x25519,frodo640shake,5,1,576,0,112.0,,11.0
p256,mldsa44,x25519,hqc128,5,0,1280,0,114.0,,11.0
p256,mldsa44,x25519,hqc128,5,0,1500,0,102.0,,11.0
p256,mldsa44,x25519,hqc128,5,0,576,0,121.0,,11.0
p256,mldsa44,x25519,hqc128,5,1,1280,0,109.0,,11.0
p256,mldsa44,x25519,hqc128,5,1,1500,0,119.0,,11.0
p256,mldsa44,x25519,hqc128,5,1,576,0,119.0,,11.0
p256,mldsa44,x25519,hqc128,5,5,1280,0,,,
p256,mldsa44,x25519,mlkem512,5,0,1280,0,376.0,,11.0
p256,mldsa44,x25519,mlkem512,5,0,1500,0,323.0,,11.0
p256,mldsa44,x25519,mlkem512,5,0,576,0,301.0,,11.0
p256,mldsa44,x25519,mlkem512,5,1,1280,0,232.0,,11.0
p256,mldsa44,x25519,mlkem512,5,1,1500,0,205.0,,11.0
p256,mldsa44,x25519,mlkem512,5,1,576,0,101.0,,11.0
p256,mldsa44,x25519,mlkem512,5,5,1500,0,,,
p256,mldsa44,x448,bikel1,5,0,1280,0,325.0,,11.0
p256,mldsa44,x448,bikel1,5,0,1500,0,286.0,,11.0
p256,mldsa44,x448,bikel1,5,0,576,0,283.0,,11.0
p256,mldsa44,x448,bikel1,5,1,1280,0,202.0,,11.0
p256,mldsa44,x448,bikel1,5,1,1500,0,170.0,,11.0
p256,mldsa44,x448,bikel1,5,1,576,0,171.0,,11.0
p256,mldsa44,x448,bikel1,5,5,1500,0,,,
p256,mldsa44,x448,frodo640shake,5,0,1280,0,248.0,,11.0
p256,mldsa44,x448,frodo640shake,5,0,1500,0,230.0,,11.0
p256,mldsa44,x448,frodo640shake,5,0,576,0,178.0,,11.0
p256,mldsa44,x448,frodo640shake,5,1,1280,0,147.0,,11.0
p256,mldsa44,x448,frodo640shake,5,1,1500,0,171.0,,11.0
p256,mldsa44,x448,frodo640shake,5,1,576,0,156.0,,11.0
p256,mldsa44,x448,frodo640shake,5,5,1280,0,,,
p256,mldsa44,x448,frodo640shake,5,5,1500,0,93.0,,11.0
p256,mldsa44,x448,hqc128,5,0,1280,0,99.0,,11.0
p256,mldsa44,x448,hqc128,5,0,1500,0,98.0,,11.0
p256,mldsa44,x448,hqc128,5,0,576,0,107.0,,11.0
p256,mldsa44,x448,hqc128,5,1,1280,0,70.0,,11.0
p256,mldsa44,x448,hqc128,5,1,1500,0,107.0,,11.0
p256,mldsa44,x448,hqc128,5,1,576,0,110.0,,11.0
p256,mldsa44,x448,hqc128,5,5,1280,0,48.0,,11.0
p256,mldsa44,x448,mlkem512,5,0,1280,0,377.0,,11.0
p256,mldsa44,x448,mlkem512,5,0,1500,0,373.0,,11.0
p256,mldsa44,x448,mlkem512,5,0,576,0,311.0,,11.0
p256,mldsa44,x448,mlkem512,5,1,1280,0,275.0,,11.0
p256,mldsa44,x448,mlkem512,5,1,1500,0,260.0,,11.0
p256,mldsa44,x448,mlkem512,5,1,576,0,156.0,,11.0
p256,snova2454shake,p256,bikel1,5,0,1280,0,316.0,,11.0
p256,snova2454shake,p256,bikel1,5,0,1500,0,313.0,,11.0
p256,snova2454shake,p256,bikel1,5,0,576,0,324.0,,11.0
p256,snova2454shake,p256,bikel1,5,1,1280,0,242.0,,11.0
p256,snova2454shake,p256,bikel1,5,1,1500,0,222.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,0,1280,0,206.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,0,1500,0,231.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,0,576,0,180.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,1,1280,0,195.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,1,1500,0,143.0,,11.0
p256,snova2454shake,p256,frodo640shake,5,1,576,0,187.0,,11.0
p256,snova2454shake,p256,hqc128,5,0,1280,0,101.0,,11.0
p256,snova2454shake,p256,hqc128,5,0,1500,0,98.0,,11.0
