cl_sig,pq_sig,cl,pq,delay,loss,mtu,idx,connections,user_sec,real_sec
p256,mayo1,x448,mlkem512,5,1,1500,0,154.0,,11.0
p256,mayo1,x448,mlkem512,5,1,576,0,129.0,,11.0
p256,mayo1,x448,mlkem512,5,5,1280,0,,,
p256,mayo1,x448,mlkem512,5,5,1500,0,51.0,,11.0
p256,mldsa44,p256,bikel1,5,0,1280,0,150.0,,11.0
p256,mldsa44,p256,bikel1,5,0,1500,0,127.0,,11.0
p256,mldsa44,p256,bikel1,5,0,576,0,149.0,,11.0
p256,mldsa44,p256,bikel1,5,1,1280,0,121.0,,11.0
p256,mldsa44,p256,bikel1,5,1,1500,0,106.0,,11.0
p256,mldsa44,p256,bikel1,5,1,576,0,173.0,,11.0
p256,mldsa44,p256,frodo640shake,5,0,1280,0,86.0,,11.0
p256,mldsa44,p256,frodo640shake,5,0,1500,0,90.0,,11.0
p256,mldsa44,p256,frodo640shake,5,0,576,0,86.0,,11.0
p256,mldsa44,p256,frodo640shake,5,1,1280,0,89.0,,11.0
p256,mldsa44,p256,frodo640shake,5,1,1500,0,78.0,,11.0
p256,mldsa44,p256,frodo640shake,5,1,576,0,98.0,,11.0
p256,mldsa44,p256,frodo640shake,5,5,1500,0,58.0,,13.0
p256,mldsa44,p256,hqc128,5,0,1280,0,30.0,,11.0
p256,mldsa44,p256,hqc128,5,0,1500,0,26.0,,11.0
p256,mldsa44,p256,hqc128,5,0,576,0,28.0,,11.0
p256,mldsa44,p256,hqc128,5,1,1280,0,28.0,,11.0
p256,mldsa44,p256,hqc128,5,1,1500,0,27.0,,11.0
p256,mldsa44,p256,hqc128,5,1,576,0,23.0,,11.0
p256,mldsa44,p256,mlkem512,5,0,1280,0,180.0,,11.0
p256,mldsa44,p256,mlkem512,5,0,1500,0,128.0,,11.0
p256,mldsa44,p256,mlkem512,5,0,576,0,154.0,,11.0
p256,mldsa44,p256,mlkem512,5,1,1280,0,88.0,,11.0
p256,mldsa44,p256,mlkem512,5,1,1500,0,139.0,,11.0
p256,mldsa44,p256,mlkem512,5,1,576,0,103.0,,11.0
p256,mldsa44,p256,mlkem512,5,5,1500,0,,,
p256,mldsa44,x25519,bikel1,5,0,1280,0,236.0,,11.0
p256,mldsa44,x25519,bikel1,5,0,1500,0,163.0,,11.0
p256,mldsa44,x25519,bikel1,5,0,576,0,210.0,,11.0
p256,mldsa44,x25519,bikel1,5,1,1280,0,173.0,,11.0
p256,mldsa44,x25519,bikel1,5,1,1500,0,184.0,,11.0
p256,mldsa44,x25519,bikel1,5,1,576,0,157.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,0,1280,0,122.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,0,1500,0,123.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,0,576,0,120.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,1,1280,0,98.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,1,1500,0,110.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,1,576,0,149.0,,11.0
p256,mldsa44,x25519,frodo640shake,5,5,1500,0,41.0,,11.0
p256,mldsa44,x25519,hqc128,5,0,1280,0,31.0,,11.0
p256,mldsa44,x25519,hqc128,5,0,1500,0,29.0,,11.0
p256,mldsa44,x25519,hqc128,5,0,576,0,31.0,,11.0
p256,mldsa44,x25519,hqc128,5,1,1280,0,29.0,,11.0
p256,mldsa44,x25519,hqc128,5,1,1500,0,30.0,,11.0
p256,mldsa44,x25519,hqc128,5,1,576,0,29.0,,11.0
p256,mldsa44,x25519,hqc128,5,5,1500,0,24.0,,11.0
p256,mldsa44,x25519,mlkem512,5,0,1280,0,286.0,,11.0
p256,mldsa44,x25519,mlkem512,5,0,1500,0,193.0,,11.0
p256,mldsa44,x25519,mlkem512,5,0,576,0,251.0,,11.0
p256,mldsa44,x25519,mlkem512,5,1,1280,0,191.0,,11.0
p256,mldsa44,x25519,mlkem512,5,1,1500,0,186.0,,11.0
p256,mldsa44,x25519,mlkem512,5,1,576,0,127.0,,11.0
p256,mldsa44,x25519,mlkem512,5,5,1500,0,,,
p256,mldsa44,x448,bikel1,5,0,1280,0,196.0,,11.0
p256,mldsa44,x448,bikel1,5,0,1500,0,161.0,,11.0
p256,mldsa44,x448,bikel1,5,0,576,0,190.0,,11.0
p256,mldsa44,x448,bikel1,5,1,1280,0,174.0,,11.0
